"indicator_id","dimension_id","indicator_original_name","indicator_direction","indicator_weight","date","period_id","geo_id","indicator_value","source_id","total","year"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2018-01-01","Y","ES-CL",109.605539433789,"EVASTUR",FALSE,"2018"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2018-01-01","Y","ES-CM",97.2304116358197,"EVASTUR",FALSE,"2018"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2018-01-01","Y","ES-CN",145.993315749975,"EVASTUR",FALSE,"2018"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2018-01-01","Y","ES-CT",185.226703328275,"EVASTUR",FALSE,"2018"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2018-01-01","Y","ES-EX",115.114702185477,"EVASTUR",FALSE,"2018"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2018-01-01","Y","ES-GA",109.861247958941,"EVASTUR",FALSE,"2018"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2018-01-01","Y","ES-IB",156.123243560163,"EVASTUR",FALSE,"2018"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2018-01-01","Y","ES-MC",86.6387933857419,"EVASTUR",FALSE,"2018"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2018-01-01","Y","ES-MD",243.140844094269,"EVASTUR",FALSE,"2018"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2018-01-01","Y","ES-ML",NA,"EVASTUR",FALSE,"2018"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2018-01-01","Y","ES-NC",116.437592103061,"EVASTUR",FALSE,"2018"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2018-01-01","Y","ES-PV",164.078616346342,"EVASTUR",FALSE,"2018"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2018-01-01","Y","ES-RI",104.291412237385,"EVASTUR",FALSE,"2018"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2018-01-01","Y","ES-VC",97.5431682703489,"EVASTUR",FALSE,"2018"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2018-01-01","Y","ESP",145.530345475199,"EVASTUR",TRUE,"2018"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-AN",124.214984079459,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-AR",110.196163581688,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-AS",102.026323780534,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-CB",117.498520382911,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-CE",NA,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-CL",119.532762738265,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-CM",111.167520953134,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-CN",150.33347152336,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-CT",197.270461361925,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-EX",93.7209111452055,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-GA",110.857096695718,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-IB",162.113408852838,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-MC",92.5182565883441,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-MD",270.713832377649,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-ML",NA,"EVASTUR",FALSE,"2019"
"IECO0001","ECO","Gasto medio por turista receptor y día","+",1,"2019-01-01","Y","ES-NC",126.204520720352,"EVASTUR",FALSE,"2019"
