"Country 2-digit ISO,""Country"",""Country appear"",""Region Code"",""Region name"",""NUTS name short"",""NUTS Name"",""Index"",""Component"",""CODE1"",""Component + code 1"",""Value"",""National value"""
"AT,""Austria"",""0"",""AT12"",""Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""BASIC SUB-INDEX"",""Nutrition and Care"",""11"",""11. Nutrition and Care"",""88,2"",""87,6"""
"AT,""Austria"",""0"",""AT12"",""Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""BASIC SUB-INDEX"",""Water and Sanitation"",""12"",""12. Water and Sanitation"",""96,3"",""96,8"""
"AT,""Austria"",""0"",""AT12"",""Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""BASIC SUB-INDEX"",""Shelter"",""13"",""13. Shelter"",""90,8"",""88,3"""
"AT,""Austria"",""0"",""AT12"",""Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""BASIC SUB-INDEX"",""Personal Security"",""14"",""14. Personal Security"",""76,9"",""79,3"""
"AT,""Austria"",""0"",""AT12"",""Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""FOUNDATION SUB-INDEX"",""Basic Knowledge"",""21"",""21. Basic Knowledge"",""62,8"",""74,3"""
"AT,""Austria"",""0"",""AT12"",""Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""FOUNDATION SUB-INDEX"",""ICT Access"",""22"",""22. ICT Access"",""84,1"",""82"""
"AT,""Austria"",""0"",""AT12"",""Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""FOUNDATION SUB-INDEX"",""Health and Wellness"",""23"",""23. Health and Wellness"",""70,3"",""73"""
"AT,""Austria"",""0"",""AT12"",""Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""FOUNDATION SUB-INDEX"",""Environmental Quality"",""24"",""24. Environmental Quality"",""43,7"",""41,5"""
"AT,""Austria"",""0"",""AT12"",""Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""OPPORTUNITY SUB-INDEX"",""Personal Rights"",""31"",""31. Personal Rights"",""54,9"",""55,8"""
"AT,""Austria"",""0"",""AT12"",""Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""OPPORTUNITY SUB-INDEX"",""Personal Freedom and Choice"",""32"",""32. Personal Freedom and Choice"",""75,4"",""75,8"""
"AT,""Austria"",""0"",""AT12"",""Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""OPPORTUNITY SUB-INDEX"",""Tolerance Inclusion"",""33"",""33. Tolerance Inclusion"",""71,6"",""69,2"""
"AT,""Austria"",""0"",""AT12"",""Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""OPPORTUNITY SUB-INDEX"",""Advanced Education"",""34"",""34. Advanced Education"",""61"",""73,5"""
"AT,""Austria"",""0"",""AT13"",""Wien"",""AT13 - Wien"",""AT13 - Wien"",""EU_SPI"",""EU SOCIAL PROGRESS INDEX"",""1"",""1. EU SOCIAL PROGRESS INDEX"",""74"",""74"""
"AT,""Austria"",""0"",""AT13"",""Wien"",""AT13 - Wien"",""AT13 - Wien"",""BASIC SUB-INDEX"",""BASIC SUB-INDEX"",""10"",""10. BASIC SUB-INDEX"",""82,9"",""87,9"""
"AT,""Austria"",""0"",""AT13"",""Wien"",""AT13 - Wien"",""AT13 - Wien"",""FOUNDATION SUB-INDEX"",""FOUNDATION SUB-INDEX"",""20"",""20. FOUNDATION SUB-INDEX"",""65,3"",""66,7"""
"AT,""Austria"",""0"",""AT13"",""Wien"",""AT13 - Wien"",""AT13 - Wien"",""OPPORTUNITY SUB-INDEX"",""OPPORTUNITY SUB-INDEX"",""30"",""30. OPPORTUNITY SUB-INDEX"",""74,3"",""68,3"""
"AT,""Austria"",""0"",""AT13"",""Wien"",""AT13 - Wien"",""AT13 - Wien"",""BASIC SUB-INDEX"",""Nutrition and Care"",""11"",""11. Nutrition and Care"",""84,3"",""87,6"""
"AT,""Austria"",""0"",""AT13"",""Wien"",""AT13 - Wien"",""AT13 - Wien"",""BASIC SUB-INDEX"",""Water and Sanitation"",""12"",""12. Water and Sanitation"",""96"",""96,8"""
"AT,""Austria"",""0"",""AT13"",""Wien"",""AT13 - Wien"",""AT13 - Wien"",""BASIC SUB-INDEX"",""Shelter"",""13"",""13. Shelter"",""79,9"",""88,3"""
