"geo_id","year","obs_id","composite_index","composite_index_normalized"
"ES-GA","2024","ES-GA_2024",-0.203818295351029,36.0624222276899
"ES-IB","2024","ES-IB_2024",-0.93269244956992,23.5102219659393
"ES-MC","2024","ES-MC_2024",-0.739682346592882,26.8341173888813
"ES-MD","2024","ES-MD_2024",-1.26879856951155,17.7220192943429
"ES-NC","2024","ES-NC_2024",-0.500199280309852,30.9583401917932
"ES-PV","2024","ES-PV_2024",-0.533130055323409,30.3912276383404
"ES-RI","2024","ES-RI_2024",-1.01962047614904,22.0132035963563
"ES-VC","2024","ES-VC_2024",-0.492555622423291,31.0899743346272
"ESP","2016","ESP_2016",0.065929491919947,40.7078445223218
"ESP","2017","ESP_2017",-0.382073640740734,32.9926237170582
"ESP","2018","ESP_2018",-1.07573460271841,21.0468423251616
"ESP","2019","ESP_2019",-1.42203558083489,15.083070385935
"ESP","2020","ESP_2020",3.13588382339266,93.5766166416605
"ESP","2021","ESP_2021",1.70711756930236,68.9713263528423
"ESP","2022","ESP_2022",-0.199702198303982,36.1333069944666
"ESP","2023","ESP_2023",-1.17489930440411,19.3390918345579
"ESP","2024","ESP_2024",-0.737855190444593,26.8655834928034
